sim,true_beta,n,model,p,n_f,true_beta_f
81,0,25,model1,0.4306146307974845,25,beta = 0
81,0,25,model2,0.49265980931298314,25,beta = 0
81,0,25,model3,0.18943136818230694,25,beta = 0
81,0,25,model4,0.1154671317070595,25,beta = 0
82,0,25,model1,0.6128607996923755,25,beta = 0
82,0,25,model2,0.4577737276904459,25,beta = 0
82,0,25,model3,0.4935907698370524,25,beta = 0
82,0,25,model4,0.03876108680639541,25,beta = 0
83,0,25,model1,0.6746535791160595,25,beta = 0
83,0,25,model2,0.9966683906465548,25,beta = 0
83,0,25,model3,0.37205629082347325,25,beta = 0
83,0,25,model4,0.5195614643042092,25,beta = 0
84,0,25,model1,0.25989518558014696,25,beta = 0
84,0,25,model2,0.4272403333612447,25,beta = 0
84,0,25,model3,0.2452101361802986,25,beta = 0
84,0,25,model4,0.6248438771720866,25,beta = 0
85,0,25,model1,0.6367713834015423,25,beta = 0
85,0,25,model2,0.2203489600664718,25,beta = 0
85,0,25,model3,0.23000470951728227,25,beta = 0
85,0,25,model4,0.9298580622778614,25,beta = 0
86,0,25,model1,0.18596750336850887,25,beta = 0
86,0,25,model2,0.5686415325850107,25,beta = 0
86,0,25,model3,0.5874763105665047,25,beta = 0
86,0,25,model4,0.21137587309113,25,beta = 0
87,0,25,model1,0.013864948662359588,25,beta = 0
87,0,25,model2,0.9602061810027218,25,beta = 0
87,0,25,model3,0.7431875733318456,25,beta = 0
87,0,25,model4,0.15869592657406556,25,beta = 0
88,0,25,model1,0.9102139469154938,25,beta = 0
88,0,25,model2,0.004898452577274671,25,beta = 0
88,0,25,model3,0.4388557387102068,25,beta = 0
88,0,25,model4,0.8601230107443053,25,beta = 0
89,0,25,model1,0.8860968788425523,25,beta = 0
89,0,25,model2,0.7640678062939913,25,beta = 0
89,0,25,model3,0.7721411239151491,25,beta = 0
89,0,25,model4,0.13009736368056055,25,beta = 0
90,0,25,model1,0.39018871565507496,25,beta = 0
90,0,25,model2,0.23713794074395494,25,beta = 0
90,0,25,model3,0.6706409330953857,25,beta = 0
90,0,25,model4,0.6003586966554564,25,beta = 0
91,0,25,model1,0.9007971644422923,25,beta = 0
91,0,25,model2,0.3522939767063026,25,beta = 0
91,0,25,model3,0.9927748750465734,25,beta = 0
91,0,25,model4,0.6163206168920947,25,beta = 0
92,0,25,model1,0.37432210070335503,25,beta = 0
92,0,25,model2,0.17280296718336877,25,beta = 0
92,0,25,model3,0.8421940186687077,25,beta = 0
92,0,25,model4,0.15758707647776482,25,beta = 0
93,0,25,model1,0.6365019730782616,25,beta = 0
